avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
18007.80297,0.086012163,0.005050505,7.666666667,0.070707071,2.819958137,0
17978.19292,0.09111827,0.005050505,7.666666667,0.070707071,2.792838325,0
18861.80433,0.092885375,0,7.166666667,0.069148936,2.752182543,0
18816.07594,0.099313259,0,7.166666667,0.069148936,2.720951299,0
19686.36397,0.102402746,0,7,0.072625698,2.683646217,0
19591.9318,0.109114249,0.005882353,6.666666667,0.076470588,2.64892978,0
19709.37445,0.109737249,0,7.6,0.091549296,2.65560632,0
20408.19997,0.109195402,0,8.75,0.105263158,2.645234183,0
21592.09326,0.108448928,0,7.5,0.127906977,2.639457868,0
27192.29059,0.09486166,0,7.666666667,0.1875,2.538489518,0
57445.24662,0.088974855,0.00094518,7.5,0.02268431,2.793761087,0
58645.9485,0.087004219,0.000969932,7.416666667,0.023278371,2.800467877,0
38512.01132,0.089792231,0,9.444444444,0.022132797,2.758164814,0
34455.24961,0.088302647,0.001037344,9.222222222,0.022821577,2.763079014,0
35055.55333,0.087673286,0,9.222222222,0.023504274,2.770111864,0
35872.96237,0.085797978,0.001101322,8.5,0.025330396,2.782021987,0
36527.24331,0.085098153,0.001136364,8.5,0.026136364,2.790964152,0
37227.06983,0.084048535,0.001173709,7.818181818,0.028169014,2.799865395,0
37943.7906,0.081409118,0.001212121,7.818181818,0.029090909,2.8110038,0
20782.21591,0.101782485,0.001269036,9.222222222,0.027918782,2.760178518,0
33424.50392,0.082869916,0.001315789,9.222222222,0.028947368,2.770293612,0
34099.77833,0.081998432,0.00136612,9.222222222,0.030054645,2.778006055,0
41463.72812,0.080811554,0.00141844,9.222222222,0.031205674,2.78521966,0
42585.81984,0.079759661,0.00295421,9.111111111,0.032496307,2.793913831,0
44132.20757,0.077968957,0,9,0.033950617,2.806547633,0
45402.80983,0.076110975,0.003225806,8.3,0.037096774,2.821112062,0
46689.21731,0.074596774,0.001689189,7.636363636,0.040540541,2.836455208,0
48231.7883,0.072950291,0.001769912,7.636363636,0.042477876,2.84583558,0
49868.07703,0.069571964,0.005576208,7.636363636,0.044609665,2.861158931,0
23831.17184,0.072357019,0.003992016,8.888888889,0.043912176,2.792367665,0
54112.85227,0.070154578,0.002118644,8.888888889,0.046610169,2.805271231,0
56421.92431,0.067344153,0.002252252,8,0.045045045,2.805769056,0
58870.35598,0.064541093,0.002398082,6.636363636,0.052757794,2.82756439,0
61814.69004,0.060437006,0.007692308,6.454545455,0.053846154,2.835273922,0
65677.37731,0.056828885,0.002762431,6.090909091,0.055248619,2.846195115,0
56110.06089,0.059080963,0,7.111111111,0.055555556,2.74827313,0
75178.16823,0.052683504,0,6.777777778,0.071161049,2.797239167,0
24644.19796,0.045575389,0.004166667,5.9,0.083333333,2.824078653,0
24960.84614,0.046806548,0,6.375,0.078817734,2.663554976,0
26259.12636,0.042155689,0,6,0.090909091,2.675759407,0
29009.15619,0.036341162,0.006802721,5,0.108843537,2.698290616,0
31417.83922,0.031119247,0.008403361,4.7,0.142857143,2.779932472,0
37669.48691,0.050694025,0,6.4,0.119047619,2.428010632,0
38982.28398,0.016682113,0,4.25,0.240740741,2.683422078,0
24740.19869,0.079078975,0.001317523,6.307692308,0.027667984,2.911346912,0
25002.9187,0.078519469,0.001362398,7.272727273,0.028610354,2.906118288,0
25397.84187,0.077573893,0.001416431,7.272727273,0.029745042,2.920767622,0
25812.54539,0.076351351,0.001474926,7.272727273,0.030973451,2.94054471,0
26300.08517,0.07295082,0.001605136,9.25,0.030497592,2.934979005,0
26698.60432,0.073028354,0.001631321,9,0.030995106,2.924353016,0
26692.82876,0.071395349,0.001628664,9.25,0.030944625,2.937081943,0
27056.50466,0.074420897,0.001655629,9.125,0.031456954,2.916414189,0
27402.85743,0.074458766,0.003361345,9,0.031932773,2.907609414,0
29488.86906,0.066316922,0.002028398,8.75,0.038539554,2.972260858,0
30212.61009,0.065454044,0.004210526,8.625,0.04,2.983497535,0
32627.45521,0.058961572,0.002487562,8.125,0.047263682,3.066321966,0
32905.85773,0.056360247,0.005089059,8.25,0.048346056,3.097031293,0
35483.1669,0.0553125,0.005649718,8.125,0.053672316,3.100045609,0
36162.46935,0.05403289,0.002898551,8.25,0.055072464,3.097383029,0
37815.92738,0.053800592,0.003058104,8,0.058103976,3.086686767,0
37815.94088,0.053765209,0.009174312,8.125,0.058103976,3.080326924,0
38801.79578,0.054645751,0.003154574,8.125,0.059936909,3.083314822,0
40492.48135,0.05352364,0.006666667,8,0.063333333,3.068241522,0
40606.76462,0.051661787,0.003333333,8.125,0.063333333,3.090218253,0
44427.76811,0.050258968,0.007633588,7.625,0.072519084,3.087632146,0
45969.42729,0.049763033,0.007936508,7.625,0.075396825,3.080267003,0
50171.28528,0.046410891,0.013333333,7,0.08,3.098533752,0
51759.65825,0.045977011,0.009259259,7.125,0.083333333,3.093205254,0
51649.48933,0.044303797,0.013824885,7.125,0.082949309,3.1155902,0
54176.1386,0.046648551,0.004854369,7.125,0.087378641,3.072371391,0
56526.34657,0.046211588,0.005076142,7,0.091370558,3.065895733,0
58490.26792,0.045929526,0.010582011,7.125,0.095238095,3.057178538,0
61681.50679,0.044983573,0.011235955,6.875,0.101123596,3.086120472,0
64513.05708,0.042849899,0.01183432,6.75,0.106508876,3.096650866,0
67990.72946,0.04378763,0.0125,6.75,0.1125,3.054608815,0
67770.70352,0.03884438,0.01875,6.875,0.1125,3.084789954,0
76516.13421,0.042089552,0.007092199,6.25,0.120567376,3.010471347,0
81769.18808,0.0410401,0.007633588,5.875,0.122137405,3.004544133,0
108603.2228,0.032345013,0.020833333,5.25,0.15625,3.041146264,0
109789.7675,0.031922043,0.031578947,5.375,0.157894737,3.042390715,0
176480.0139,0.021772939,0.017857143,5,0.25,3.187114919,0
76811.00102,0.038674033,0,6,0.161904762,3.284312455,0
13927.11871,0.038706516,0,9.142857143,0.056962025,3.398266589,0
11820.37561,0.042562041,0,9,0.058631922,3.371310968,0
12508.61516,0.03901357,0.003344482,9,0.060200669,3.387346117,0
12298.7177,0.041781119,0,9,0.062283737,3.368894281,0
14953.92295,0.037654723,0,9.142857143,0.062283737,3.398732035,0
13179.30309,0.040293567,0,9,0.064285714,3.376918474,0
13470.04932,0.039864666,0,9,0.066420664,3.381078821,0
13286.86788,0.041847042,0,9,0.068965517,3.362460171,0
16174.26857,0.036885823,0,9.142857143,0.06870229,3.395083053,0
14193.30018,0.04028133,0.003968254,8.857142857,0.071428571,3.362341278,0
